[2021-05-06 22:18:03,948 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id0_0003/id0_0003_000.jpg
[2021-05-06 22:18:22,554 - INFO] 1 faces are detected.
[2021-05-06 22:18:24,502 - INFO] Prob = 0.0
[2021-05-06 22:18:24,502 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_000.jpg
[2021-05-06 22:18:24,585 - WARNING] No faces are detected.
[2021-05-06 22:18:24,586 - INFO] Prob = -1
[2021-05-06 22:18:24,586 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_001.jpg
[2021-05-06 22:18:24,675 - INFO] 1 faces are detected.
[2021-05-06 22:18:26,602 - INFO] Prob = 0.0
[2021-05-06 22:18:26,602 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_002.jpg
[2021-05-06 22:18:26,681 - WARNING] No faces are detected.
[2021-05-06 22:18:26,681 - INFO] Prob = -1
[2021-05-06 22:18:26,682 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_003.jpg
[2021-05-06 22:18:26,762 - WARNING] No faces are detected.
[2021-05-06 22:18:26,763 - INFO] Prob = -1
[2021-05-06 22:18:26,763 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_004.jpg
[2021-05-06 22:18:26,845 - WARNING] No faces are detected.
[2021-05-06 22:18:26,845 - INFO] Prob = -1
[2021-05-06 22:18:26,845 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_005.jpg
[2021-05-06 22:18:26,925 - WARNING] No faces are detected.
[2021-05-06 22:18:26,925 - INFO] Prob = -1
[2021-05-06 22:18:26,926 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_006.jpg
[2021-05-06 22:18:27,009 - WARNING] No faces are detected.
[2021-05-06 22:18:27,009 - INFO] Prob = -1
[2021-05-06 22:18:27,009 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_007.jpg
[2021-05-06 22:18:27,095 - WARNING] No faces are detected.
[2021-05-06 22:18:27,095 - INFO] Prob = -1
[2021-05-06 22:18:27,095 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_008.jpg
[2021-05-06 22:18:27,181 - WARNING] No faces are detected.
[2021-05-06 22:18:27,182 - INFO] Prob = -1
[2021-05-06 22:18:27,182 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id10_0001/id10_0001_009.jpg
[2021-05-06 22:18:27,270 - WARNING] No faces are detected.
[2021-05-06 22:18:27,270 - INFO] Prob = -1
[2021-05-06 22:18:27,270 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_000.jpg
[2021-05-06 22:18:27,320 - INFO] 1 faces are detected.
[2021-05-06 22:18:29,250 - INFO] Prob = 0.0
[2021-05-06 22:18:29,251 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_001.jpg
[2021-05-06 22:18:29,301 - INFO] 1 faces are detected.
[2021-05-06 22:18:31,220 - INFO] Prob = 0.0
[2021-05-06 22:18:31,220 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_002.jpg
[2021-05-06 22:18:31,271 - INFO] 1 faces are detected.
[2021-05-06 22:18:33,207 - INFO] Prob = 0.0
[2021-05-06 22:18:33,207 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_003.jpg
[2021-05-06 22:18:33,257 - INFO] 1 faces are detected.
[2021-05-06 22:18:35,265 - INFO] Prob = 0.0
[2021-05-06 22:18:35,265 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_004.jpg
[2021-05-06 22:18:35,313 - INFO] 1 faces are detected.
[2021-05-06 22:18:37,288 - INFO] Prob = 0.0
[2021-05-06 22:18:37,289 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_005.jpg
[2021-05-06 22:18:37,338 - INFO] 1 faces are detected.
[2021-05-06 22:18:39,336 - INFO] Prob = 0.0
[2021-05-06 22:18:39,336 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_006.jpg
[2021-05-06 22:18:39,386 - INFO] 1 faces are detected.
[2021-05-06 22:18:41,316 - INFO] Prob = 0.0
[2021-05-06 22:18:41,317 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_007.jpg
[2021-05-06 22:18:41,365 - INFO] 1 faces are detected.
[2021-05-06 22:18:43,308 - INFO] Prob = 0.0
[2021-05-06 22:18:43,308 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_008.jpg
[2021-05-06 22:18:43,360 - INFO] 1 faces are detected.
[2021-05-06 22:18:45,307 - INFO] Prob = 0.0
[2021-05-06 22:18:45,308 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id11_0000/id11_0000_009.jpg
[2021-05-06 22:18:45,358 - INFO] 1 faces are detected.
[2021-05-06 22:18:47,290 - INFO] Prob = 0.0
[2021-05-06 22:18:47,291 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_000.jpg
[2021-05-06 22:18:47,377 - INFO] 1 faces are detected.
[2021-05-06 22:18:49,323 - INFO] Prob = 0.0
[2021-05-06 22:18:49,323 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_001.jpg
[2021-05-06 22:18:49,409 - INFO] 1 faces are detected.
[2021-05-06 22:18:51,385 - INFO] Prob = 0.0
[2021-05-06 22:18:51,386 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_002.jpg
[2021-05-06 22:18:51,479 - INFO] 1 faces are detected.
[2021-05-06 22:18:53,533 - INFO] Prob = 0.0
[2021-05-06 22:18:53,534 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_003.jpg
[2021-05-06 22:18:53,626 - INFO] 1 faces are detected.
[2021-05-06 22:18:55,657 - INFO] Prob = 0.0
[2021-05-06 22:18:55,657 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_004.jpg
[2021-05-06 22:18:55,748 - INFO] 1 faces are detected.
[2021-05-06 22:18:57,701 - INFO] Prob = 0.0
[2021-05-06 22:18:57,702 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_005.jpg
[2021-05-06 22:18:57,789 - INFO] 1 faces are detected.
[2021-05-06 22:18:59,757 - INFO] Prob = 0.0
[2021-05-06 22:18:59,758 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_006.jpg
[2021-05-06 22:18:59,843 - INFO] 1 faces are detected.
[2021-05-06 22:19:01,774 - INFO] Prob = 0.0
[2021-05-06 22:19:01,775 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_007.jpg
[2021-05-06 22:19:01,860 - INFO] 1 faces are detected.
[2021-05-06 22:19:03,809 - INFO] Prob = 0.0
[2021-05-06 22:19:03,810 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_008.jpg
[2021-05-06 22:19:03,897 - INFO] 1 faces are detected.
[2021-05-06 22:19:05,828 - INFO] Prob = 0.0
[2021-05-06 22:19:05,828 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id12_0003/id12_0003_009.jpg
[2021-05-06 22:19:05,912 - INFO] 1 faces are detected.
[2021-05-06 22:19:07,890 - INFO] Prob = 0.0
[2021-05-06 22:19:07,890 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_000.jpg
[2021-05-06 22:19:07,976 - INFO] 1 faces are detected.
[2021-05-06 22:19:09,925 - INFO] Prob = 0.0
[2021-05-06 22:19:09,926 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_001.jpg
[2021-05-06 22:19:10,014 - INFO] 1 faces are detected.
[2021-05-06 22:19:11,974 - INFO] Prob = 0.0
[2021-05-06 22:19:11,975 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_002.jpg
[2021-05-06 22:19:12,065 - INFO] 1 faces are detected.
[2021-05-06 22:19:14,027 - INFO] Prob = 0.0
[2021-05-06 22:19:14,027 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_003.jpg
[2021-05-06 22:19:14,114 - INFO] 1 faces are detected.
[2021-05-06 22:19:16,032 - INFO] Prob = 0.0
[2021-05-06 22:19:16,032 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_004.jpg
[2021-05-06 22:19:16,118 - INFO] 1 faces are detected.
[2021-05-06 22:19:18,055 - INFO] Prob = 0.0
[2021-05-06 22:19:18,056 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_005.jpg
[2021-05-06 22:19:18,145 - INFO] 1 faces are detected.
[2021-05-06 22:19:20,093 - INFO] Prob = 0.0
[2021-05-06 22:19:20,094 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_006.jpg
[2021-05-06 22:19:20,182 - INFO] 1 faces are detected.
[2021-05-06 22:19:22,140 - INFO] Prob = 0.0
[2021-05-06 22:19:22,141 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_007.jpg
[2021-05-06 22:19:22,226 - INFO] 1 faces are detected.
[2021-05-06 22:19:24,170 - INFO] Prob = 0.0
[2021-05-06 22:19:24,170 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_008.jpg
[2021-05-06 22:19:24,257 - INFO] 1 faces are detected.
[2021-05-06 22:19:26,233 - INFO] Prob = 0.0
[2021-05-06 22:19:26,233 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id13_0009/id13_0009_009.jpg
[2021-05-06 22:19:26,318 - INFO] 1 faces are detected.
[2021-05-06 22:19:28,271 - INFO] Prob = 0.0
[2021-05-06 22:19:28,271 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_000.jpg
[2021-05-06 22:19:28,328 - INFO] 1 faces are detected.
[2021-05-06 22:19:30,255 - INFO] Prob = 0.0
[2021-05-06 22:19:30,255 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_001.jpg
[2021-05-06 22:19:30,312 - INFO] 1 faces are detected.
[2021-05-06 22:19:32,234 - INFO] Prob = 0.0
[2021-05-06 22:19:32,234 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_002.jpg
[2021-05-06 22:19:32,291 - INFO] 1 faces are detected.
[2021-05-06 22:19:34,239 - INFO] Prob = 0.0
[2021-05-06 22:19:34,239 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_003.jpg
[2021-05-06 22:19:34,297 - INFO] 1 faces are detected.
[2021-05-06 22:19:36,294 - INFO] Prob = 0.0
[2021-05-06 22:19:36,294 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_004.jpg
[2021-05-06 22:19:36,352 - INFO] 1 faces are detected.
[2021-05-06 22:19:38,298 - INFO] Prob = 0.0
[2021-05-06 22:19:38,299 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_005.jpg
[2021-05-06 22:19:38,355 - INFO] 1 faces are detected.
[2021-05-06 22:19:40,363 - INFO] Prob = 0.0
[2021-05-06 22:19:40,364 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_006.jpg
[2021-05-06 22:19:40,422 - INFO] 1 faces are detected.
[2021-05-06 22:19:42,328 - INFO] Prob = 0.0
[2021-05-06 22:19:42,328 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_007.jpg
[2021-05-06 22:19:42,392 - INFO] 1 faces are detected.
[2021-05-06 22:19:44,304 - INFO] Prob = 0.0
[2021-05-06 22:19:44,304 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_008.jpg
[2021-05-06 22:19:44,365 - INFO] 1 faces are detected.
[2021-05-06 22:19:46,272 - INFO] Prob = 0.0
[2021-05-06 22:19:46,272 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id1_0008/id1_0008_009.jpg
[2021-05-06 22:19:46,329 - INFO] 1 faces are detected.
[2021-05-06 22:19:48,249 - INFO] Prob = 0.0
[2021-05-06 22:19:48,249 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_000.jpg
[2021-05-06 22:19:48,323 - INFO] 1 faces are detected.
[2021-05-06 22:19:50,323 - INFO] Prob = 0.0
[2021-05-06 22:19:50,324 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_001.jpg
[2021-05-06 22:19:50,399 - INFO] 1 faces are detected.
[2021-05-06 22:19:52,351 - INFO] Prob = 0.0
[2021-05-06 22:19:52,352 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_002.jpg
[2021-05-06 22:19:52,426 - INFO] 1 faces are detected.
[2021-05-06 22:19:54,524 - INFO] Prob = 0.0
[2021-05-06 22:19:54,524 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_003.jpg
[2021-05-06 22:19:54,601 - INFO] 1 faces are detected.
[2021-05-06 22:19:56,597 - INFO] Prob = 0.0
[2021-05-06 22:19:56,597 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_004.jpg
[2021-05-06 22:19:56,674 - INFO] 1 faces are detected.
[2021-05-06 22:19:58,629 - INFO] Prob = 0.0
[2021-05-06 22:19:58,630 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_005.jpg
[2021-05-06 22:19:58,706 - INFO] 1 faces are detected.
[2021-05-06 22:20:00,640 - INFO] Prob = 0.0
[2021-05-06 22:20:00,640 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_006.jpg
[2021-05-06 22:20:00,718 - INFO] 1 faces are detected.
[2021-05-06 22:20:02,632 - INFO] Prob = 0.0
[2021-05-06 22:20:02,632 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_007.jpg
[2021-05-06 22:20:02,711 - INFO] 1 faces are detected.
[2021-05-06 22:20:04,639 - INFO] Prob = 0.0
[2021-05-06 22:20:04,640 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_008.jpg
[2021-05-06 22:20:04,719 - INFO] 1 faces are detected.
[2021-05-06 22:20:06,650 - INFO] Prob = 0.0
[2021-05-06 22:20:06,651 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id25_0001/id25_0001_009.jpg
[2021-05-06 22:20:06,730 - INFO] 1 faces are detected.
[2021-05-06 22:20:08,703 - INFO] Prob = 0.0
[2021-05-06 22:20:08,704 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_000.jpg
[2021-05-06 22:20:08,784 - INFO] 1 faces are detected.
[2021-05-06 22:20:10,711 - INFO] Prob = 0.0
[2021-05-06 22:20:10,712 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_001.jpg
[2021-05-06 22:20:10,785 - INFO] 1 faces are detected.
[2021-05-06 22:20:12,757 - INFO] Prob = 0.0
[2021-05-06 22:20:12,757 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_002.jpg
[2021-05-06 22:20:12,851 - INFO] 1 faces are detected.
[2021-05-06 22:20:14,851 - INFO] Prob = 0.0
[2021-05-06 22:20:14,853 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_003.jpg
[2021-05-06 22:20:14,929 - INFO] 1 faces are detected.
[2021-05-06 22:20:16,838 - INFO] Prob = 0.0
[2021-05-06 22:20:16,838 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_004.jpg
[2021-05-06 22:20:16,917 - INFO] 1 faces are detected.
[2021-05-06 22:20:18,868 - INFO] Prob = 0.0
[2021-05-06 22:20:18,869 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_005.jpg
[2021-05-06 22:20:18,951 - INFO] 1 faces are detected.
[2021-05-06 22:20:20,904 - INFO] Prob = 0.0
[2021-05-06 22:20:20,904 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_006.jpg
[2021-05-06 22:20:20,983 - INFO] 1 faces are detected.
[2021-05-06 22:20:22,903 - INFO] Prob = 0.0
[2021-05-06 22:20:22,903 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_007.jpg
[2021-05-06 22:20:22,985 - INFO] 1 faces are detected.
[2021-05-06 22:20:24,918 - INFO] Prob = 0.0
[2021-05-06 22:20:24,919 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_008.jpg
[2021-05-06 22:20:25,006 - INFO] 1 faces are detected.
[2021-05-06 22:20:26,948 - INFO] Prob = 0.0
[2021-05-06 22:20:26,949 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id26_0002/id26_0002_009.jpg
[2021-05-06 22:20:27,022 - INFO] 1 faces are detected.
[2021-05-06 22:20:28,960 - INFO] Prob = 0.0
[2021-05-06 22:20:28,960 - INFO] Testing: /content/drive/MyDrive/Colab Notebooks/Deep Fake - PDBR/CVPRW2019_Face_Artifacts/testdata/Task_2_3/evaluation/real/id28_0003/id28_0003_000.jpg
[2021-05-06 22:20:29,037 - INFO] 1 faces are detected.
